state,state_name,from_stage,to_stage,n_years,median_ratio,pre_covid_median,recent_median,median_absolute_deviation,min_ratio,max_ratio
OK,Oklahoma,Grade 9,Grade 10,14,0.9589013093093173,0.9570026727013793,0.9638784724879468,0.006123837974614632,0.932790140643233,0.9719536891979672
OK,Oklahoma,Grade 10,Grade 11,14,0.9420714353659616,0.9391163320767949,0.9515237998165325,0.008510608427196698,0.9280298078180155,0.9632409130988537
OK,Oklahoma,Grade 11,Grade 12,14,0.9456324702855783,0.9439493484247273,0.9505587975623937,0.005578833397291594,0.9255513843266072,0.9536187886070879
OR,Oregon,Grade 1,Grade 2,14,1.0034480284394125,1.0037754961093972,1.0031205607694278,0.00561938804808354,0.9496824621397166,1.0250110152139544
OR,Oregon,Grade 2,Grade 3,14,1.0056891111156556,1.0063588990151742,1.0063588990151742,0.004364661707972894,0.9553569355774811,1.020087184821915
OR,Oregon,Grade 3,Grade 4,14,1.0070567189450332,1.007243405767391,1.007243405767391,0.004417670566233878,0.957821980929787,1.0183085019642726
OR,Oregon,Grade 4,Grade 5,14,1.005326080636385,1.0064026813914015,1.0042494798813686,0.005180705995651458,0.9699909543193125,1.014921363680766
OR,Oregon,Grade 5,Grade 6,14,1.0044868607045863,1.005066887652421,1.0024279145717847,0.00277265744313282,0.9699828095385022,1.0141060384962823
OR,Oregon,Grade 6,Grade 7,14,1.0059619683574912,1.0062427854601994,1.0042010502625656,0.0021814840197962315,0.9788831235113984,1.0107124599154158
OR,Oregon,Grade 7,Grade 8,14,1.004873426394641,1.0051966648959512,1.0065887400402767,0.0024754418829256997,0.9861048857014791,1.0104609725255778
OR,Oregon,Grade 8,Grade 9,14,1.0229147986860525,1.0231141044143588,1.022047244094488,0.0034424523127110085,1.0028270088072198,1.0334340893883107
OR,Oregon,Grade 9,Grade 10,14,0.9978491130922693,0.9995269844130101,0.9998884401704634,0.004676946223728884,0.9876792114695341,1.0051496764659786
OR,Oregon,Grade 10,Grade 11,14,0.9766221913051862,0.9770469494216376,0.9824584513381194,0.004176304048804702,0.9659960712592291,0.9866579816266481
OR,Oregon,Grade 11,Grade 12,14,1.0648578963579167,1.0755344093609853,1.041346522160384,0.02410977988473395,1.0334026365692615,1.1220989132436914
PA,Pennsylvania,Grade 1,Grade 2,14,1.001536997006283,1.003227981123845,1.003227981123845,0.004832895539805926,0.9860560611345404,1.0131295453661573
PA,Pennsylvania,Grade 2,Grade 3,14,1.0056190526803968,1.0073487758506965,1.008031561526938,0.00565269515591138,0.9920153053157512,1.0159034478423485
PA,Pennsylvania,Grade 3,Grade 4,14,1.0062910449445117,1.0072920972383619,1.0072920972383619,0.00527618656253126,0.9949891457427191,1.0162371529375671
PA,Pennsylvania,Grade 4,Grade 5,14,1.0064950507470818,1.0080913530207967,1.007237088286108,0.005452483612397363,0.9959274056180123,1.017290281591069
PA,Pennsylvania,Grade 5,Grade 6,14,1.0072994589904707,1.0096942187887488,1.0050462442194725,0.0040278049137213445,0.997951516709123,1.0177693819879592
PA,Pennsylvania,Grade 6,Grade 7,14,1.0125274167117715,1.0146008077042559,1.0114426587901482,0.0027989681107193354,1.0017682931437077,1.0251324148546077
PA,Pennsylvania,Grade 7,Grade 8,14,1.0025411609313815,1.0028227875943985,1.0042971884538372,0.004497539258399241,0.9910918175857469,1.0107114165848434
PA,Pennsylvania,Grade 8,Grade 9,14,1.0610062341376683,1.0597277380801586,1.0597277380801586,0.006005973682085108,1.0388844901909036,1.0954097116843702
PA,Pennsylvania,Grade 9,Grade 10,14,0.9727578266219916,0.9730565215863983,0.9730565215863983,0.004937925276433608,0.9433901683645826,1.050385299347955
PA,Pennsylvania,Grade 10,Grade 11,14,0.952515991248216,0.95229978104116,0.9620283814918626,0.009497635661314674,0.8822624422229388,1.0487896578650548
PA,Pennsylvania,Grade 11,Grade 12,14,0.9984225637636759,0.998170022874714,1.003142375544386,0.009434268739928697,0.9154671299360247,1.1053258313238665
RI,Rhode Island,Grade 1,Grade 2,14,1.000519144849839,1.0006677477821235,1.0003042596348883,0.006171122257153494,0.973648119122257,1.0256975740722984
RI,Rhode Island,Grade 2,Grade 3,14,1.0010075838488928,1.005025593299209,0.998466551658041,0.004938800135712074,0.9759859429910192,1.0103767411423763
RI,Rhode Island,Grade 3,Grade 4,14,1.0064927945579227,1.0066945606694562,1.0075592932060853,0.0031043385155149483,0.980917501927525,1.0119024764830102
RI,Rhode Island,Grade 4,Grade 5,14,0.9995858497864185,1.0006870828425598,0.9973021582733813,0.004549040731013254,0.9824511477897933,1.0077839257244678
RI,Rhode Island,Grade 5,Grade 6,14,1.0006794144768387,1.0026483570377636,0.9934808376135915,0.0034429948478889583,0.97571189279732,1.0101166605905942
RI,Rhode Island,Grade 6,Grade 7,14,1.0060326486974822,1.0060452945953262,1.0041019630823322,0.001908656740702841,0.9893355209187858,1.013250405624662
RI,Rhode Island,Grade 7,Grade 8,14,0.999442775712344,0.9994681322577785,0.9970070741882823,0.0032074793340508,0.9884351925985233,1.0077397954482632
RI,Rhode Island,Grade 8,Grade 9,14,1.0804313821428286,1.0803693883148944,1.0803693883148944,0.010788269113244708,1.0463021923041935,1.1501488355804588
RI,Rhode Island,Grade 9,Grade 10,14,0.9497449580569266,0.9450146627565983,0.9680941096817874,0.019250515522340195,0.8916821849782743,0.9724329792615073
RI,Rhode Island,Grade 10,Grade 11,14,0.9549599910854571,0.9549069045771916,0.9564659517917697,0.014205925707001299,0.8894242547978767,0.9712491153573957
RI,Rhode Island,Grade 11,Grade 12,14,0.99620792831785,0.9874457675620788,1.007906976744186,0.019254365747563618,0.9615491265366485,1.027265216193886
SC,South Carolina,Grade 1,Grade 2,14,0.9947695663193958,0.9940351923650462,0.9985568480169701,0.006691739634344218,0.9598231449442522,1.0150792066631584
