GEO_ID|B28002_E001|B28002_M001|B28002_E002|B28002_M002|B28002_E003|B28002_M003|B28002_E004|B28002_M004|B28002_E005|B28002_M005|B28002_E006|B28002_M006|B28002_E007|B28002_M007|B28002_E008|B28002_M008|B28002_E009|B28002_M009|B28002_E010|B28002_M010|B28002_E011|B28002_M011|B28002_E012|B28002_M012|B28002_E013|B28002_M013
795P200US4803310|55199|3214|47646|3367|0|242|47646|3367|46097|3404|8538|1885|37049|3044|1336|479|3358|984|53|92|0|242|2175|1016|5378|1283
795P200US4803400|80085|2080|75542|2213|0|242|75542|2213|71178|2264|13423|1788|50155|2509|2777|735|14486|1867|1203|507|36|64|911|527|3632|1027
795P200US4803501|70595|2603|66923|2779|0|242|66923|2779|64950|2700|6811|1605|58655|2612|1664|818|3300|1090|248|429|0|242|1676|767|1996|909
795P200US4803502|78356|2658|74156|2741|0|242|74156|2741|70450|2600|10591|1817|58960|2928|2537|914|6505|1637|622|689|0|242|802|427|3398|1042
795P200US4803600|63177|2272|56127|2753|0|242|56127|2753|52389|2805|12917|1878|31470|2617|2314|643|14868|1918|1149|573|89|115|2300|938|4750|1007
795P200US4803700|66800|1886|59501|2001|125|119|59376|1987|54190|2338|14953|1861|32488|2178|3067|766|14696|1755|1525|685|243|244|1984|845|5315|1099
795P200US4803801|44082|2560|40334|2758|18|35|40316|2750|39163|2706|4323|1173|34748|2719|775|482|2463|810|231|216|0|242|1928|902|1820|737
795P200US4803802|57565|2492|53736|2418|0|242|53736|2418|51277|2666|9168|1535|36750|2650|1598|622|8505|1775|586|465|73|122|1072|608|2757|1025
795P200US4803900|76891|2462|68154|2721|189|161|67965|2710|64092|3046|13959|2171|46082|2430|1890|772|9284|1643|375|302|132|199|3242|1244|5495|1417
795P200US4804000|58059|1881|54059|1962|0|242|54059|1962|50782|2139|9836|1808|38273|2123|2485|715|6781|1471|546|460|43|72|622|324|3378|855
795P200US4804100|44587|1907|39869|1823|101|160|39768|1827|37312|1959|11079|1391|21407|1870|1694|650|9024|1194|332|245|192|256|892|383|3826|941
795P200US4804200|56898|1681|52696|1709|166|235|52530|1694|49744|2137|7251|1558|40610|2058|2223|1010|6108|1318|187|184|166|292|530|406|3672|799
795P200US4804301|44059|2280|41386|2596|0|242|41386|2596|40064|2522|7205|2188|32130|3128|1111|528|3976|1064|43|73|0|242|685|496|1988|953
795P200US4804302|51629|1987|48002|2265|0|242|48002|2265|46356|2282|6243|1492|40313|2568|1095|492|4132|1276|356|367|47|74|561|382|3066|1129
