GEO_ID|B01003_E001|B01003_M001
0500000US12069|444204|-555555555
0500000US12071|860959|-555555555
0500000US12073|300488|-555555555
0500000US12081|458352|-555555555
0500000US12083|428905|-555555555
0500000US12085|165666|-555555555
0500000US12086|2838461|-555555555
0500000US12087|80908|-555555555
0500000US12089|104376|-555555555
0500000US12091|220483|-555555555
0500000US12095|1533646|-555555555
0500000US12097|468058|-555555555
0500000US12099|1582055|-555555555
0500000US12101|659114|-555555555
0500000US12103|965870|-555555555
0500000US12105|852878|-555555555
0500000US12107|77301|-555555555
0500000US12109|334928|-555555555
0500000US12111|390670|-555555555
0500000US12113|207653|-555555555
0500000US12115|476604|-555555555
0500000US12117|494605|-555555555
0500000US12119|154693|-555555555
0500000US12127|602772|-555555555
0500000US12131|89666|-555555555
0500000US13013|96294|-555555555
0500000US13015|117508|-555555555
0500000US13021|157056|-555555555
0500000US13031|85454|-555555555
0500000US13045|129911|-555555555
0500000US13047|68940|-555555555
0500000US13051|307336|-555555555
0500000US13057|293513|-555555555
0500000US13059|129995|-555555555
0500000US13063|297703|-555555555
0500000US13067|787538|-555555555
0500000US13073|167472|-555555555
0500000US13077|158233|-555555555
0500000US13089|770307|-555555555
0500000US13095|82418|-555555555
0500000US13097|151887|-555555555
0500000US13103|73148|-555555555
0500000US13113|125107|-555555555
0500000US13115|101390|-555555555
0500000US13117|280096|-555555555
0500000US13121|1090354|-555555555
0500000US13127|86540|-555555555
0500000US13135|1003869|-555555555
0500000US13139|221745|-555555555
0500000US13151|259315|-555555555
0500000US13153|174897|-555555555
0500000US13157|93825|-555555555
0500000US13179|68607|-555555555
0500000US13185|122082|-555555555
0500000US13215|201830|-555555555
0500000US13217|124010|-555555555
0500000US13223|188549|-555555555
0500000US13245|206303|-555555555
0500000US13247|97610|-555555555
0500000US13255|70292|-555555555
0500000US13285|71513|-555555555
0500000US13295|69340|-555555555
0500000US13297|109792|-555555555
0500000US13313|105070|-555555555
0500000US15001|209790|-555555555
0500000US15003|998747|-555555555
0500000US15007|73840|-555555555
0500000US15009|163694|35
0500000US16001|535799|-555555555
0500000US16005|91010|-555555555
0500000US16019|133644|-555555555
0500000US16027|266892|-555555555
0500000US16055|188323|-555555555
0500000US16083|96509|-555555555
0500000US17019|212374|-555555555
0500000US17031|5182617|-555555555
0500000US17037|101335|-555555555
0500000US17043|937142|-555555555
0500000US17089|520997|-555555555
0500000US17091|106410|-555555555
0500000US17093|143171|-555555555
0500000US17097|718604|-555555555
0500000US17099|108390|-555555555
0500000US17111|315959|-555555555
0500000US17113|172069|-555555555
0500000US17115|100737|-555555555
0500000US17119|263017|-555555555
0500000US17143|179630|-555555555
0500000US17161|142731|-555555555
0500000US17163|251149|-555555555
0500000US17167|194345|-555555555
0500000US17179|129821|-555555555
0500000US17183|71106|-555555555
0500000US17197|708583|-555555555
0500000US17199|67064|-555555555
0500000US17201|283790|-555555555
0500000US18003|399295|-555555555
0500000US18005|84741|-555555555
0500000US18011|78773|-555555555
0500000US18019|127479|-555555555
0500000US18035|112951|-555555555
0500000US18039|207436|-555555555
0500000US18043|81931|-555555555
0500000US18053|66458|-555555555
0500000US18057|379704|-555555555
0500000US18059|88810|-555555555
