county_fips,state,state_name,county_name,graduates_2026,change_2026_from_2026,pct_change_2026_from_2026,confidence_2026,graduates_2030,change_2030_from_2026,pct_change_2030_from_2026,confidence_2030,graduates_2035,change_2035_from_2026,pct_change_2035_from_2026,confidence_2035,graduates_2041,change_2041_from_2026,pct_change_2041_from_2026,confidence_2041
42077,PA,Pennsylvania,Lehigh County,3998.1829657725625,0.0,0.0,High,3719.7875205735304,-278.3954451990321,-0.06963049154636125,High,3997.490207472705,-0.6927582998573598,-0.00017326828356478696,High,3444.722923441515,-553.4600423310476,-0.13842789263750044,Moderate
42079,PA,Pennsylvania,Luzerne County,3373.1003029052386,0.0,0.0,High,3419.9389243357905,46.83862143055194,0.013885926069322707,High,3769.1256867615284,396.02538385628986,0.1174069396973445,Moderate,3599.778535997597,226.67823309235837,0.06720174697951364,Moderate
42081,PA,Pennsylvania,Lycoming County,1183.8422147066087,0.0,0.0,High,1105.3118931430754,-78.53032156353333,-0.06633512522865681,High,1047.848225931921,-135.99398877468775,-0.11487509660093609,Moderate,916.5669241232538,-267.27529058335494,-0.22576935275922194,Low
42083,PA,Pennsylvania,McKean County,516.6242212396478,0.0,0.0,High,470.08923170395803,-46.53498953568976,-0.09007512157294584,Moderate,395.7985624982397,-120.82565874140812,-0.23387532712168446,Moderate,317.7268977955145,-198.8973234441333,-0.3849941897166108,Low
42085,PA,Pennsylvania,Mercer County,1137.8745653306648,0.0,0.0,High,1025.641731884337,-112.23283344632773,-0.09863374827585936,High,982.0367548844055,-155.83781044625937,-0.1369551751962863,Moderate,901.4269962752313,-236.44756905543352,-0.20779756948580896,Low
42087,PA,Pennsylvania,Mifflin County,435.4419979975718,0.0,0.0,High,403.3506057635933,-32.09139223397847,-0.07369843143645838,Moderate,403.46468766033627,-31.977310337235508,-0.07343644040833619,Moderate,409.81070825079587,-25.631289746775906,-0.05886269552464907,Low
42089,PA,Pennsylvania,Monroe County,1937.8446773461962,0.0,0.0,High,1610.4472714051587,-327.3974059410375,-0.16894925056088383,High,1619.425246589714,-318.41943075648214,-0.1643162811131722,Moderate,1307.276262484919,-630.5684148612772,-0.32539677830362357,Low
42091,PA,Pennsylvania,Montgomery County,9036.812560211914,0.0,0.0,High,8485.532898501115,-551.2796617107997,-0.061003772960614766,High,8238.040077352296,-798.7724828596183,-0.08839095394946284,High,7460.993382270612,-1575.8191779413028,-0.17437776510707548,Moderate
42093,PA,Pennsylvania,Montour County,178.96702178694645,0.0,0.0,High,151.5711735113136,-27.395848275632858,-0.15307763409197583,Moderate,156.1632549589141,-22.803766828032337,-0.12741882051979037,Moderate,130.27788788744257,-48.68913389950387,-0.2720564571805104,Low
42095,PA,Pennsylvania,Northampton County,3913.63432257067,0.0,0.0,High,3905.235758361665,-8.398564209005144,-0.002145975713819026,High,3763.49239759748,-150.14192497319027,-0.03836381036094594,Moderate,3635.5852303016195,-278.04909226905056,-0.07104626271940861,Moderate
42097,PA,Pennsylvania,Northumberland County,836.348940981543,0.0,0.0,High,744.3090015592664,-92.03993942227657,-0.11004968729231379,Moderate,701.1848417641471,-135.16409921739591,-0.16161208868007493,Moderate,710.0744324420638,-126.27450853947926,-0.1509830435024918,Low
42099,PA,Pennsylvania,Perry County,420.42675668731073,0.0,0.0,High,417.3001384402545,-3.1266182470562285,-0.0074367727489371704,Moderate,439.94528819249143,19.518531505180704,0.04642552167462899,Moderate,410.5320838129381,-9.894672874372645,-0.023534831494399278,Low
42101,PA,Pennsylvania,Philadelphia County,17793.679227301585,0.0,0.0,High,16037.005648643553,-1756.673578658032,-0.09872458395016437,High,15413.379284714945,-2380.29994258664,-0.13377221833551134,High,13502.057337938864,-4291.621889362721,-0.24118799909452715,Moderate
42103,PA,Pennsylvania,Pike County,590.2120545542579,0.0,0.0,High,538.9275809843292,-51.28447356992865,-0.08689160645602179,Moderate,520.3814180242931,-69.83063652996475,-0.11831448712565262,Moderate,550.0862031680865,-40.12585138617135,-0.06798548263551707,Low
